날짜,시간,국가,경제지표,실제,예상,이전,중요도
11.30 (Sat), 10:30,cn,NBS 종합 구매관리자지수(PMI) Nov,,,,하
11.30 (Sat), 10:30,cn,NBS 제조업 구매관리자지수(PMI) Nov,,,,상
11.30 (Sat), 10:30,cn,NBS 비제조업 구매관리자지수(PMI) Nov,,,,중
11.30 (Sat), 05:30,us,연준 대차대조표 Nov/27,,,,하
11.30 (Sat), 03:00,us,베이커 휴즈 전체 시추기 가동건수 Nov/29,,,,하
11.30 (Sat), 03:00,us,베이커 휴즈 원유 시추기 가동건수 Nov/29,,,,하
11.29 (Fri), 23:45,us,시카고 구매관리자지수(PMI) Nov,,,,중
11.29 (Fri), 18:30,gb,BOE 소비자 신용 Oct,,,,중
11.29 (Fri), 18:30,gb,M4 통화 공급량 (월간) Oct,,,,하
11.29 (Fri), 18:30,gb,개인대출 순여신액 (전월비) Oct,,,,하
11.29 (Fri), 18:30,gb,주택담보대출금액 Oct,,,,중
11.29 (Fri), 18:30,gb,모기지 승인건수 Oct,,,,중
11.29 (Fri), 16:00,gb,전국 주택가격지수 (전월비) Nov,,,,중
11.29 (Fri), 16:00,gb,전국 주택가격지수 (전년비) Nov,,,,중
11.29 (Fri), 09:00,us,감사절을 기념하여 일찍 시장 종료 ,,,,하
11.29 (Fri), 08:00,kr,소매 판매 (전월비) Oct,,,,하
11.29 (Fri), 08:00,kr,산업생산 (전월비) Oct,,,,하
11.29 (Fri), 08:00,kr,산업생산 (전년비) Oct,,,,하
11.29 (Fri), 02:00,us,30년 만기 모기지 금리 Nov/27,,,,하
11.29 (Fri), 01:30,us,4주 만기 국채 입찰 ,,,,하
11.29 (Fri), 01:30,us,8주 만기 국채 입찰 ,,,,하
11.28 (Thu), 22:30,us,계속 실업수당 청구건수 Nov/16,,,,하
11.28 (Thu), 22:30,us,실업수당 청구건수 4주 평균 Nov/23,,,,하
11.28 (Thu), 22:30,us,신규 실업수당 신청건수 Nov/23,,,,중
11.28 (Thu), 10:00,kr,기준금리 결정 ,,,3.25%,중
11.28 (Thu), 09:01,gb,자동차 생산 (전년비) Oct,,,,하
11.28 (Thu), 09:00,us,추수 감사절 ,,,,하
11.28 (Thu), 04:00,us,FOMC 회의록 ,,,,상
11.28 (Thu), 03:00,us,7년 만기 국채 입찰 ,,,,하
11.28 (Thu), 02:00,us,15년 만기 모기지 금리 Nov/26,,,,하
11.28 (Thu), 02:00,us,EIA 천연가스재고량 변화 Nov/22,,,,하
11.28 (Thu), 01:30,us,17주 만기 국채 입찰 ,,,,하
11.28 (Thu), 00:30,us,EIA 가솔린 생산량 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 난방유 재고 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 정제소 원유 가동량 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 원유 수입량 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 쿠싱 원유 재고량 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 원유 재고 변동 Nov/22,,,,중
11.28 (Thu), 00:30,us,EIA 증류유 재고 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 증류유 생산량 변동 Nov/22,,,,하
11.28 (Thu), 00:30,us,EIA 가솔린 재고 변동 Nov/22,,,,중
11.28 (Thu), 00:00,us,잠정주택판매지수 (전년비) Oct,,,,중
11.28 (Thu), 00:00,us,잠정주택판매지수 (전월비) Oct,,,,중
11.27 (Wed), 22:30,us,GDP 성장률 잠정치 (전분기비) Q3,,,,상
11.27 (Wed), 22:30,us,GDP 판매액 잠정치 (전분기비) Q3,,,1.9%,하
11.27 (Wed), 22:30,us,기업수익 Q3,,,3.5%,중
11.27 (Wed), 22:30,us,소매 재고 잠정치(자동차 제외) (전월비) Oct,,,,중
11.27 (Wed), 22:30,us,GDP 물가지수 잠정치 (전분기비) Q3,,,,중
11.27 (Wed), 22:30,us,실질 소비지출 잠정치 (전분기비) Q3,,,,하
11.27 (Wed), 22:30,us,개인소비지출 물가지수 잠정치 (전분기비) Q3,,,,하
